Time, CFM 1, CFM 2, CFM 3
7:17:05 PM, 0.00 , 0.00 , 0.00 
7:17:05 PM, 0.00 , 0.00 , 0.00 
7:17:06 PM, 0.00 , 0.00 , 0.00 
7:17:06 PM, 0.00 , 0.00 , 0.00 
7:17:06 PM, 0.00 , 0.00 , 0.00 
7:17:07 PM, -4331.72, -2453.00, -4295.42
7:17:07 PM, -4341.31, -2456.58, -4295.42
7:17:07 PM, -4331.46, -2451.07, -4287.12
7:17:08 PM, -4321.73, -2446.54, -4282.20
7:17:08 PM, -4357.61, -2466.56, -4310.26
7:17:08 PM, -4385.51, -2482.13, -4335.13
7:17:08 PM, -4409.89, -2495.75, -4354.86
7:17:09 PM, -4409.89, -2495.75, -4354.86
7:17:09 PM, -4457.71, -2521.52, -4398.26
7:17:09 PM, -4446.16, -2516.00, -4389.93
7:17:10 PM, -4439.53, -2513.22, -4384.92
7:17:10 PM, -4456.08, -2521.54, -4399.95
7:17:10 PM, -4475.89, -2531.67, -4418.30
7:17:11 PM, -4457.51, -2522.35, -4399.73
