Time, Type & Sensor #, Value
7:17:07 PM, Begin Run
7:17:07 PM, c0, 523
7:17:07 PM, t0, 52.10
7:17:07 PM, h0, 41.90
7:17:07 PM, c1, 523
7:17:07 PM, t1, 52.10
7:17:07 PM, h1, 41.90
7:17:07 PM, c2, 523
7:17:07 PM, t2, 52.10
7:17:08 PM, h2, 41.90
7:17:08 PM, c3, 523
7:17:08 PM, t3, 52.10
7:17:08 PM, h3, 41.90
7:17:08 PM, c4, 523
7:17:08 PM, t4, 52.10
7:17:08 PM, h4, 41.90
7:17:08 PM, c5, 523
7:17:08 PM, t5, 52.10
7:17:08 PM, h5, 41.90
7:17:09 PM, c6, 523
7:17:09 PM, t6, 52.10
7:17:09 PM, h6, 41.90
7:17:09 PM, c0, 523
7:17:09 PM, t0, 52.10
7:17:09 PM, h0, 41.90
7:17:09 PM, c1, 523
7:17:09 PM, t1, 52.10
7:17:09 PM, h1, 41.90
7:17:09 PM, c2, 523
7:17:10 PM, t2, 52.10
7:17:10 PM, h2, 41.90
7:17:10 PM, c3, 523
7:17:10 PM, t3, 52.10
7:17:10 PM, h3, 41.90
7:17:10 PM, c4, 523
7:17:10 PM, t4, 52.10
7:17:10 PM, h4, 41.90
7:17:10 PM, c5, 523
7:17:10 PM, t5, 52.10
7:17:11 PM, h5, 41.90
